Id,Label,timeset,modularity_class,Degree,lat,long,parish,population
Above Rocks,Above Rocks,,0,139,18.1089,-76.8772,Saint Catherine,3263
Annotto Bay,Annotto Bay,,3,33,18.2703,-76.7706,Saint Mary,5468
Bog Walk,Bog Walk,,0,88,18.1,-77.02,Saint Catherine,8794
Constant Spring,Constant Spring,,0,127,18.05,-76.78,Saint Andrew,12369
Ewarton,Ewarton,,0,34,18.18,-77.08,Saint Catherine,8742
Gordon Town,Gordon Town,,0,100,18.05,-76.7,Saint Andrew,1049
Albert Town,Albert Town,,1,36,18.2958,-77.5414,Trelawny,3389
Alexandria,Alexandria,,1,34,18.2983,-77.3575,Saint Ann,1672
Balaclava,Balaclava,,4,40,18.1705,-77.6484,Saint Elizabeth,2837
Brown's Town,Brown's Town,,1,28,18.4,-77.36,Saint Ann,6762
Cave Valley,Cave Valley,,1,29,18.27,-77.37,Saint Ann,1777
Christiana,Christiana,,4,19,18.17,-77.49,Manchester,7235
Bamboo,Bamboo,,1,26,18.3851,-77.2662,Saint Ann,3732
Alligator Pond,Alligator Pond,,4,32,17.8711,-77.5683,Manchester,1542
Bull Savanna,Bull Savanna,,4,31,17.88,-77.59,Saint Elizabeth,3163.8
Malvern,Malvern,,4,15,17.97,-77.72,Saint Elizabeth,3262
Mandeville,Mandeville,,4,13,18.05,-77.48,Manchester,39945
Nain,Nain,,4,8,17.97,-77.6,Saint Elizabeth,2373
Porus,Porus,,4,5,18.03,-77.42,Manchester,5095
Anchovy,Anchovy,,2,88,18.4097,-77.9339,Saint James,3633
Bethel Town,Bethel Town,,2,98,18.3,-77.95,Westmoreland,2768
Cambridge,Cambridge,,2,82,18.32,-77.89,Saint James,3384
Cascade,Cascade,,2,93,18.4,-78.1,Hanover,1220
Darliston,Darliston,,2,35,18.23,-77.97,Westmoreland,1435
Maroon Town,Maroon Town,,2,34,18.35,-77.79,Saint James,2669
Buff Bay,Buff Bay,,3,31,18.23,-76.67,Portland,2596
Guy's Hill,Guy's Hill,,3,14,18.25,-77,Saint Mary,3165
Coleyville,Coleyville,,4,14,18.22,-77.5,Manchester,3320
Lacovia,Lacovia,,4,19,18.07,-77.75,Saint Elizabeth,3159
Claremont,Claremont,,1,22,18.38,-77.17,Saint Ann,2154
Bath,Bath,,5,23,17.95,-76.35,Saint Thomas,2151
Dalvey,Dalvey,,5,16,17.9,-76.25,Saint Thomas,2742
Golden Grove,Golden Grove,,5,15,17.93,-76.27,Saint Thomas,2761
Manchioneal,Manchioneal,,5,15,18.05,-76.28,Portland,2185
Moore Town,Moore Town,,5,16,18.07,-76.43,Portland,1054
Morant Bay,Morant Bay,,5,6,17.87,-76.39,Saint Thomas,9602
Bluefields,Bluefields,,2,48,18.17,-78.03,Westmoreland,2564
Black River,Black River,,4,29,18.03,-77.86,Saint Elizabeth,3675
Brompton,Brompton,,4,25,18.06,-77.9,Saint Elizabeth,1457
Maggotty,Maggotty,,4,9,18.15,-77.77,Saint Elizabeth,1359
Croft's Hill,Croft's Hill,,6,17,18.13,-77.22,Clarendon,2994
Highgate,Highgate,,3,10,18.32,-76.87,Saint Mary,5418
Chapelton,Chapelton,,6,22,18.08,-77.27,Clarendon,3930
Frankfield,Frankfield,,6,11,18.15,-77.35,Clarendon,2865
Hayes,Hayes,,6,15,17.88,-77.25,Clarendon,8447
Clark's Town,Clark's Town,,1,25,18.42,-77.57,Trelawny,3139
Discovery Bay (Dry Harbour),Discovery Bay (Dry Harbour),,1,12,18.47,-77.39,Saint Ann,2230
Duncans,Duncans,,1,17,18.47,-77.53,Trelawny,1849
Easington,Easington,,0,69,17.92,-76.6,Saint Thomas,2378
Kingston,Kingston,,0,93,17.9833,-76.8,Kingston,587798
Mavis Bank,Mavis Bank,,5,10,18.02,-76.67,Saint Andrew,1756
Falmouth,Falmouth,,2,30,18.49,-77.66,Trelawny,7245
Rio Bueno,Rio Bueno,,1,5,18.57,-77.45,Trelawny,1108
Frome,Frome,,7,47,18.3,-78.15,Westmoreland,900
Grange Hill,Grange Hill,,7,33,18.37,-78.2,Westmoreland,6530
Gayle,Gayle,,3,17,18.33,-77,Saint Mary,3205
Islington,Islington,,3,9,18.32,-76.85,Saint Mary,2868
Hopewell,Hopewell,,7,24,18.25,-78.3,Hanover,4268
Little London,Little London,,7,22,18.3,-78.2,Westmoreland,1848
Lionel Town,Lionel Town,,6,11,17.8,-77.23,Clarendon,4669
May Pen,May Pen,,6,8,17.97,-77.24,Clarendon,45903
Old Harbour,Old Harbour,,6,9,17.92,-77.1,Saint Catherine,17778
Hope Bay,Hope Bay,,5,9,18.2,-76.57,Portland,1569
Lucea,Lucea,,7,9,18.44,-78.18,Hanover,6002
Kellits,Kellits,,6,8,18.17,-77.23,Clarendon,2291
Linstead,Linstead,,0,5,18.15,-77.02,Saint Catherine,14114
Old Harbour Bay,Old Harbour Bay,,6,9,17.9,-77.1,Saint Catherine,5405
Lluidas Vale,Lluidas Vale,,6,7,18.12,-77.15,Saint Catherine,2161
Lucky Hill,Lucky Hill,,3,7,18.3,-77.02,Saint Mary,750
Moneague,Moneague,,1,5,18.28,-77.1,Saint Ann,2880
Montego Bay,Montego Bay,,2,9,18.4666,-77.9166,Saint James,96488
Negril,Negril,,7,6,18.32,-78.33,Westmoreland,4184
Ocho Rios,Ocho Rios,,3,6,18.42,-77.11,Saint Ann,8189
Oracabessa,Oracabessa,,3,5,18.47,-76.93,Saint Mary,4066
Osbourne Store,Osbourne Store,,6,5,17.97,-77.33,Clarendon,3390
Petersfield,Petersfield,,2,5,18.25,-78.07,Westmoreland,2045
Point Hill,Point Hill,,6,5,18.08,-77.1,Saint Catherine,3651
Port Antonio,Port Antonio,,5,9,18.16,-76.38,Portland,13246
Snow Hill,Snow Hill,,5,6,18.200444,-76.500406,Portland,4130
Port Maria,Port Maria,,3,5,18.37,-76.89,Saint Mary,7651
Port Royal,Port Royal,,0,5,17.93,-76.85,Kingston,3004
Portmore,Portmore,,0,5,17.9499,-76.8799,Saint Catherine,90138
Race Course,Race Course,,6,5,17.83,-77.28,Clarendon,2589
Richmond,Richmond,,3,5,18.23,-76.9,Saint Mary,1984
Riversdale,Riversdale,,0,5,18.15,-76.97,Saint Catherine,2791
Rocky Point,Rocky Point,,6,5,17.77,-77.27,Clarendon,2744
Runaway Bay,Runaway Bay,,1,5,18.45,-77.33,Saint Ann,5655
Saint Ann's Bay,Saint Ann's Bay,,1,5,18.44,-77.22,Saint Ann,10961
Sandy Bay,Sandy Bay,,2,5,18.45,-78.1,Hanover,4476
Sanguinetti,Sanguinetti,,4,5,18.1,-77.34,Clarendon,3900
Santa Cruz,Santa Cruz,,4,5,18.07,-77.72,Saint Elizabeth,8144
Savanna-la-Mar,Savanna-la-Mar,,2,5,18.16,-77.95,Westmoreland,16553
Seaford Town,Seaford Town,,4,5,18.15,-77.54,Westmoreland,4108
Seaforth,Seaforth,,5,5,17.93,-76.45,Saint Thomas,4108
Siloah,Siloah,,4,5,18.17,-77.73,Saint Elizabeth,2701
Southfield,Southfield,,4,5,17.88,-77.67,Saint Elizabeth,2671
Spanish Town,Spanish Town,,0,5,17.9958,-76.9551,Saint Catherine,92383
Stony Hill,Stony Hill,,3,5,18.08,-76.78,Saint Andrew,8244
Trinity Ville,Trinity Ville,,5,5,17.95,-76.53,Saint Thomas,2614
Ulster Spring,Ulster Spring,,1,5,18.32,-77.52,Trelawny,1391
Wakefield,Wakefield,,1,5,18.42,-77.72,Trelawny,2724
White House,White House,,2,5,18.08,-77.97,Westmoreland,3157
