Source,Target,Type,Weight
Above Rocks,Annotto Bay,Undirected,1
Above Rocks,Bog Walk,Undirected,1
Above Rocks,Constant Spring,Undirected,1
Above Rocks,Ewarton,Undirected,1
Above Rocks,Gordon Town,Undirected,1
Above Rocks,Guy's Hill,Undirected,1
Above Rocks,Highgate,Undirected,1
Above Rocks,Islington,Undirected,1
Above Rocks,Kingston,Undirected,1
Above Rocks,Linstead,Undirected,1
Above Rocks,Mavis Bank,Undirected,1
Above Rocks,Point Hill,Undirected,1
Above Rocks,Port Royal,Undirected,1
Above Rocks,Portmore,Undirected,1
Above Rocks,Richmond,Undirected,1
Above Rocks,Riversdale,Undirected,1
Above Rocks,Spanish Town,Undirected,1
Above Rocks,Stony Hill,Undirected,1
Albert Town,Alexandria,Undirected,1
Albert Town,Balaclava,Undirected,1
Albert Town,Brown's Town,Undirected,1
Albert Town,Cave Valley,Undirected,1
Albert Town,Christiana,Undirected,1
Albert Town,Clark's Town,Undirected,1
Albert Town,Coleyville,Undirected,1
Albert Town,Duncans,Undirected,1
Albert Town,Falmouth,Undirected,1
Albert Town,Seaford Town,Undirected,1
Albert Town,Siloah,Undirected,1
Albert Town,Ulster Spring,Undirected,1
Albert Town,Wakefield,Undirected,1
Alexandria,Albert Town,Undirected,1
Alexandria,Bamboo,Undirected,1
Alexandria,Brown's Town,Undirected,1
Alexandria,Cave Valley,Undirected,1
Alexandria,Christiana,Undirected,1
Alexandria,Claremont,Undirected,1
Alexandria,Coleyville,Undirected,1
Alexandria,Croft's Hill,Undirected,1
Alexandria,Discovery Bay (Dry Harbour),Undirected,1
Alexandria,Frankfield,Undirected,1
Alexandria,Kellits,Undirected,1
Alexandria,Runaway Bay,Undirected,1
Alexandria,Saint Ann's Bay,Undirected,1
Alexandria,Sanguinetti,Undirected,1
Alexandria,Ulster Spring,Undirected,1
Alligator Pond,Bull Savanna,Undirected,1
Alligator Pond,Malvern,Undirected,1
Alligator Pond,Mandeville,Undirected,1
Alligator Pond,Nain,Undirected,1
Alligator Pond,Porus,Undirected,1
Alligator Pond,Southfield,Undirected,1
Alligator Pond,Williamsfield,Undirected,1
Anchovy,Bethel Town,Undirected,1
Anchovy,Cambridge,Undirected,1
Anchovy,Cascade,Undirected,1
Anchovy,Darliston,Undirected,1
Anchovy,Maroon Town,Undirected,1
Anchovy,Montego Bay,Undirected,1
Anchovy,Petersfield,Undirected,1
Anchovy,Sandy Bay,Undirected,1
Anchovy,Wakefield,Undirected,1
Annotto Bay,Above Rocks,Undirected,1
Annotto Bay,Buff Bay,Undirected,1
Annotto Bay,Constant Spring,Undirected,1
Annotto Bay,Guy's Hill,Undirected,1
Annotto Bay,Highgate,Undirected,1
Annotto Bay,Hope Bay,Undirected,1
Annotto Bay,Islington,Undirected,1
Annotto Bay,Port Maria,Undirected,1
Annotto Bay,Richmond,Undirected,1
