Source,Target,Type,Weight,Latitude,Longitude,Parish,Population
Above Rocks,Annotto Bay,Undirected,1,18.1089,76.8772,Saint Catherine,"3,263"
Above Rocks,Bog Walk,Undirected,1,18.1089,76.8772,Saint Catherine,"3,263"
Above Rocks,Constant Spring,Undirected,1,18.1089,76.8772,Saint Catherine,"3,263"
Above Rocks,Ewarton,Undirected,1,18.1089,76.8772,Saint Catherine,"3,263"
Above Rocks,Gordon Town,Undirected,1,18.1089,76.8772,Saint Catherine,"3,263"
Albert Town,Alexandria,Undirected,1,18.2958,77.5414,Trelawny,"3,389"
Albert Town,Balaclava,Undirected,1,18.2958,77.5414,Trelawny,"3,389"
Albert Town,Brown's Town,Undirected,1,18.2958,77.5414,Trelawny,"3,389"
Albert Town,Cave Valley,Undirected,1,18.2958,77.5414,Trelawny,"3,389"
Albert Town,Christiana,Undirected,1,18.2958,77.5414,Trelawny,"3,389"
Alexandria,Albert Town,Undirected,1,18.2983,77.3575,Saint Ann,"1,672"
Alexandria,Bamboo,Undirected,1,18.2983,77.3575,Saint Ann,"1,672"
Alexandria,Brown's Town,Undirected,1,18.2983,77.3575,Saint Ann,"1,672"
Alexandria,Cave Valley,Undirected,1,18.2983,77.3575,Saint Ann,"1,672"
Alligator Pond,Bull Savanna,Undirected,1,17.8711,77.5683,Manchester,"1,542"
Alligator Pond,Malvern,Undirected,1,17.8711,77.5683,Manchester,"1,542"
Alligator Pond,Mandeville,Undirected,1,17.8711,77.5683,Manchester,"1,542"
Alligator Pond,Nain,Undirected,1,17.8711,77.5683,Manchester,"1,542"
Alligator Pond,Porus,Undirected,1,17.8711,77.5683,Manchester,"1,542"
Anchovy,Bethel Town,Undirected,1,18.4097,77.9339,Saint James,"3,633"
Anchovy,Cambridge,Undirected,1,18.4097,77.9339,Saint James,"3,633"
Anchovy,Cascade,Undirected,1,18.4097,77.9339,Saint James,"3,633"
Anchovy,Darliston,Undirected,1,18.4097,77.9339,Saint James,"3,633"
Anchovy,Maroon Town,Undirected,1,18.4097,77.9339,Saint James,"3,633"
Annotto Bay,Above Rocks,Undirected,1,18.2703,76.7706,Saint Mary,"5,468"
Annotto Bay,Buff Bay,Undirected,1,18.2703,76.7706,Saint Mary,"5,468"
Annotto Bay,Constant Spring,Undirected,1,18.2703,76.7706,Saint Mary,"5,468"
Annotto Bay,Guy's Hill,Undirected,1,18.2703,76.7706,Saint Mary,"5,468"
Balaclava,Albert Town,Undirected,1,18.1705,77.6484,Saint Elizabeth,"2,837"
Balaclava,Christiana,Undirected,1,18.1705,77.6484,Saint Elizabeth,"2,837"
Balaclava,Coleyville,Undirected,1,18.1705,77.6484,Saint Elizabeth,"2,837"
Balaclava,Lacovia,Undirected,1,18.1705,77.6484,Saint Elizabeth,"2,837"
Bamboo,Alexandria,Undirected,1,18.3851,77.2662,Saint Ann,"3,732"
Bamboo,Brown's Town,Undirected,1,18.3851,77.2662,Saint Ann,"3,732"
Bamboo,Cave Valley,Undirected,1,18.3851,77.2662,Saint Ann,"3,732"
Bamboo,Claremont,Undirected,1,18.3851,77.2662,Saint Ann,"3,732"
Bath,Dalvey,Undirected,1,17.95,76.35,Saint Thomas,"2,151"
Bath,Golden Grove,Undirected,1,17.95,76.35,Saint Thomas,"2,151"
Bath,Manchioneal,Undirected,1,17.95,76.35,Saint Thomas,"2,151"
Bath,Moore Town,Undirected,1,17.95,76.35,Saint Thomas,"2,151"
Bath,Morant Bay,Undirected,1,17.95,76.35,Saint Thomas,"2,151"
Bethel Town,Anchovy,Undirected,1,18.3,77.95,Westmoreland,"2,768"
Bethel Town,Bluefields,Undirected,1,18.3,77.95,Westmoreland,"2,768"
Bethel Town,Cambridge,Undirected,1,18.3,77.95,Westmoreland,"2,768"
Bethel Town,Cascade,Undirected,1,18.3,77.95,Westmoreland,"2,768"
Black River,Bluefields,Undirected,1,18.03,77.86,Saint Elizabeth,"3,675"
Black River,Brompton,Undirected,1,18.03,77.86,Saint Elizabeth,"3,675"
Black River,Lacovia,Undirected,1,18.03,77.86,Saint Elizabeth,"3,675"
Black River,Maggotty,Undirected,1,18.03,77.86,Saint Elizabeth,"3,675"
Black River,Malvern,Undirected,1,18.03,77.86,Saint Elizabeth,"3,675"
Bluefields,Bethel Town,Undirected,1,18.17,78.03,Westmoreland,"2,564"
Bluefields,Black River,Undirected,1,18.17,78.03,Westmoreland,"2,564"
Bluefields,Brompton,Undirected,1,18.17,78.03,Westmoreland,"2,564"
Bog Walk,Above Rocks,Undirected,1,18.1,77.02,Saint Catherine,"8,794"
Bog Walk,Croft's Hill,Undirected,1,18.1,77.02,Saint Catherine,"8,794"
Bog Walk,Ewarton,Undirected,1,18.1,77.02,Saint Catherine,"8,794"
Bog Walk,Guy's Hill,Undirected,1,18.1,77.02,Saint Catherine,"8,794"
Brompton,Black River,Undirected,1,18.06,77.9,Saint Elizabeth,"1,457"
Brompton,Bluefields,Undirected,1,18.06,77.9,Saint Elizabeth,"1,457"
Brompton,Darliston,Undirected,1,18.06,77.9,Saint Elizabeth,"1,457"
Brown's Town,Albert Town,Undirected,1,18.4,77.36,Saint Ann,"6,762"
Brown's Town,Alexandria,Undirected,1,18.4,77.36,Saint Ann,"6,762"
Buff Bay,Annotto Bay,Undirected,1,18.23,76.67,Portland,"2,596"
Buff Bay,Constant Spring,Undirected,1,18.23,76.67,Portland,"2,596"
Buff Bay,Gordon Town,Undirected,1,18.23,76.67,Portland,"2,596"
Buff Bay,Highgate,Undirected,1,18.23,76.67,Portland,"2,596"
Bull Savanna,Alligator Pond,Undirected,1,17.88,77.59,Saint Elizabeth,
Bull Savanna,Malvern,Undirected,1,17.88,77.59,Saint Elizabeth,
Bull Savanna,Mandeville,Undirected,1,17.88,77.59,Saint Elizabeth,
Bull Savanna,Nain,Undirected,1,17.88,77.59,Saint Elizabeth,
Cambridge,Anchovy,Undirected,1,18.32,77.89,Saint James,"3,384"
Cambridge,Bethel Town,Undirected,1,18.32,77.89,Saint James,"3,384"
Cambridge,Bluefields,Undirected,1,18.32,77.89,Saint James,"3,384"
Cascade,Anchovy,Undirected,1,18.4,78.1,Hanover,"1,220"
Cascade,Bethel Town,Undirected,1,18.4,78.1,Hanover,"1,220"
Cascade,Cambridge,Undirected,1,18.4,78.1,Hanover,"1,220"
Cave Valley,Albert Town,Undirected,1,18.27,77.37,Saint Ann,"1,777"
Cave Valley,Alexandria,Undirected,1,18.27,77.37,Saint Ann,"1,777"
Chapelton,Cave Valley,Undirected,1,18.08,77.27,Clarendon,"3,930"
Chapelton,Croft's Hill,Undirected,1,18.08,77.27,Clarendon,"3,930"
Chapelton,Ewarton,Undirected,1,18.08,77.27,Clarendon,"3,930"
Chapelton,Frankfield,Undirected,1,18.08,77.27,Clarendon,"3,930"
Chapelton,Hayes,Undirected,1,18.08,77.27,Clarendon,"3,930"
Christiana,Albert Town,Undirected,1,18.17,77.49,Manchester,"7,235"
Christiana,Alexandria,Undirected,1,18.17,77.49,Manchester,"7,235"
Christiana,Balaclava,Undirected,1,18.17,77.49,Manchester,"7,235"
Claremont,Alexandria,Undirected,1,18.38,77.17,Saint Ann,"2,154"
Claremont,Bamboo,Undirected,1,18.38,77.17,Saint Ann,"2,154"
