Lat,Long,Name,Parish,Population
18.1089,76.8772,Above Rocks,Saint Catherine,3263.0
18.2958,77.5414,Albert Town,Trelawny,3389.0
18.2983,77.3575,Alexandria,Saint Ann,1672.0
17.8711,77.5683,Alligator Pond,Manchester,1542.0
18.4097,77.9339,Anchovy,Saint James,3633.0
18.2703,76.7706,Annotto Bay,Saint Mary,5468.0
18.1705,77.6484,Balaclava,Saint Elizabeth,2837.0
18.3851,77.2662,Bamboo,Saint Ann,3732.0
17.95,76.35,Bath,Saint Thomas,2151.0
18.3,77.95,Bethel Town,Westmoreland,2768.0
18.03,77.86,Black River,Saint Elizabeth,3675.0
18.17,78.03,Bluefields,Westmoreland,2564.0
18.1,77.02,Bog Walk,Saint Catherine,8794.0
18.06,77.9,Brompton,Saint Elizabeth,1457.0
18.4,77.36,Brown's Town,Saint Ann,6762.0
18.23,76.67,Buff Bay,Portland,2596.0
17.88,77.59,Bull Savanna,Saint Elizabeth,3163.8
18.32,77.89,Cambridge,Saint James,3384.0
18.4,78.1,Cascade,Hanover,1220.0
18.27,77.37,Cave Valley,Saint Ann,1777.0
18.08,77.27,Chapelton,Clarendon,3930.0
18.17,77.49,Christiana,Manchester,7235.0
18.38,77.17,Claremont,Saint Ann,2154.0
18.42,77.57,Clark's Town,Trelawny,3139.0
18.22,77.5,Coleyville,Manchester,3320.0
18.05,76.78,Constant Spring,Saint Andrew,12369.0
18.13,77.22,Croft's Hill,Clarendon,2994.0
17.9,76.25,Dalvey,Saint Thomas,2742.0
18.23,77.97,Darliston,Westmoreland,1435.0
18.47,77.39,Discovery Bay (Dry Harbour),Saint Ann,2230.0
18.47,77.53,Duncans,Trelawny,1849.0
17.92,76.6,Easington,Saint Thomas,2378.0
18.18,77.08,Ewarton,Saint Catherine,8742.0
18.49,77.66,Falmouth,Trelawny,7245.0
18.15,77.35,Frankfield,Clarendon,2865.0
18.3,78.15,Frome,Westmoreland,900.0
18.33,77.0,Gayle,Saint Mary,3205.0
17.93,76.27,Golden Grove,Saint Thomas,2761.0
18.05,76.7,Gordon Town,Saint Andrew,1049.0
18.37,78.2,Grange Hill,Westmoreland,6530.0
18.38,78.58,Green Island,Hanover,1591.0
18.25,77.0,Guy's Hill,Saint Mary,3165.0
17.88,77.25,Hayes,Clarendon,8447.0
18.32,76.87,Highgate,Saint Mary,5418.0
18.2,76.57,Hope Bay,Portland,1569.0
18.25,78.3,Hopewell,Hanover,4268.0
18.32,76.85,Islington,Saint Mary,2868.0
18.17,77.23,Kellits,Clarendon,2291.0
17.9833,76.8,Kingston,Kingston,587798.0
18.07,77.75,Lacovia,Saint Elizabeth,3159.0
18.15,77.02,Linstead,Saint Catherine,14114.0
17.8,77.23,Lionel Town,Clarendon,4669.0
18.3,78.2,Little London,Westmoreland,1848.0
18.12,77.15,Lluidas Vale,Saint Catherine,2161.0
18.44,78.18,Lucea,Hanover,6002.0
18.3,77.02,Lucky Hill,Saint Mary,750.0
18.15,77.77,Maggotty,Saint Elizabeth,1359.0
17.97,77.72,Malvern,Saint Elizabeth,3262.0
18.05,76.28,Manchioneal,Portland,2185.0
18.05,77.48,Mandeville,Manchester,39945.0
18.35,77.79,Maroon Town,Saint James,2669.0
18.02,76.67,Mavis Bank,Saint Andrew,1756.0
17.97,77.24,May Pen,Clarendon,45903.0
18.28,77.1,Moneague,Saint Ann,2880.0
18.4666,77.9166,Montego Bay,Saint James,96488.0
18.07,76.43,Moore Town,Portland,1054.0
17.87,76.39,Morant Bay,Saint Thomas,9602.0
17.97,77.6,Nain,Saint Elizabeth,2373.0
18.32,78.33,Negril,Westmoreland,4184.0
18.42,77.11,Ocho Rios,Saint Ann,8189.0
17.92,77.1,Old Harbour,Saint Catherine,17778.0
17.9,77.1,Old Harbour Bay,Saint Catherine,5405.0
18.47,76.93,Oracabessa,Saint Mary,4066.0
17.97,77.33,Osbourne Store,Clarendon,3390.0
18.25,78.07,Petersfield,Westmoreland,2045.0
18.08,77.1,Point Hill,Saint Catherine,3651.0
18.16,76.38,Port Antonio,Portland,13246.0
18.37,76.89,Port Maria,Saint Mary,7651.0
17.93,76.85,Port Royal,Kingston,3004.0
17.9499,76.8799,Portmore,Saint Catherine,90138.0
18.03,77.42,Porus,Manchester,5095.0
17.83,77.28,Race Course,Clarendon,2589.0
18.23,76.9,Richmond,Saint Mary,1984.0
18.57,77.45,Rio Bueno,Trelawny,1108.0
18.15,76.97,Riversdale,Saint Catherine,2791.0
17.77,77.27,Rocky Point,Clarendon,2744.0
18.45,77.33,Runaway Bay,Saint Ann,5655.0
18.44,77.22,Saint Ann's Bay,Saint Ann,10961.0
18.45,78.1,Sandy Bay,Hanover,4476.0
18.1,77.34,Sanguinetti,Clarendon,3900.0
18.07,77.72,Santa Cruz,Saint Elizabeth,8144.0
18.16,77.95,Savanna-la-Mar,Westmoreland,16553.0
18.15,77.54,Seaford Town,Westmoreland,4108.0
17.93,76.45,Seaforth,Saint Thomas,4108.0
18.17,77.73,Siloah,Saint Elizabeth,2701.0
17.88,77.67,Southfield,Saint Elizabeth,2671.0
17.9958,76.9551,Spanish Town,Saint Catherine,92383.0
18.08,76.78,Stony Hill,Saint Andrew,8244.0
17.95,76.53,Trinity Ville,Saint Thomas,2614.0
18.32,77.52,Ulster Spring,Trelawny,1391.0
18.42,77.72,Wakefield,Trelawny,2724.0
18.08,77.97,White House,Westmoreland,3157.0
18.07,77.48,Williamsfield,Manchester,2800.0
17.87,76.57,Yallahs,Saint Thomas,6902.0
17.9557183,-77.2405153,Grantham,Clarendon,7611.090909090909
17.9421569,-77.2333304,Mineral Heights,Clarendon,7611.090909090909
17.9718957,-77.2430438,May Pen Proper,Clarendon,7611.090909090909
17.8130192,-77.2807423,Longwood,Clarendon,7611.090909090909
17.9699234,-76.78861450000001,Copse,Hanover,3511.4
18.344818300000004,-78.29798740000001,Logwood,Hanover,3511.4
18.408830399999996,-78.2025913,Cacoon,Hanover,3511.4
18.369958399999998,-78.3145181,Orange Bay,Hanover,3511.4
18.3509957,-77.977434,Ramble,Hanover,3511.4
18.3864142,-78.2034633,Kingsvale,Hanover,3511.4
18.3982445,-78.1942034,Dias,Hanover,3511.4
18.4290781,-78.1293451,Jericho,Hanover,3511.4
18.409796,-78.13359200000001,Rock Spring,Hanover,3511.4
18.450418600000003,-78.1763937,Lucea West,Hanover,3511.4
18.3839997,-78.150467,Askenish,Hanover,3511.4
18.450418600000003,-78.1763937,Lucea East,Hanover,3511.4
18.4451128,-78.2198442,Lances Bay,Hanover,3511.4
18.396561,-78.0753922,Great Valley,Hanover,3511.4
18.4233505,-78.2454787,Cousins Cove,Hanover,3511.4
18.3650764,-78.04706740000002,Success,Hanover,3511.4
18.3565143,-78.28605379999999,Santoy,Hanover,3511.4
18.389526,-78.244952,Cauldwell,Hanover,3511.4
18.3440652,-78.0171776,Mount Peto,Hanover,3511.4
18.387556399999998,-78.129812,Maryland,Hanover,3511.4
18.428237,-78.131552,Cacoon Castle,Hanover,3511.4
18.321366,-77.9702959,Chester Castle,Hanover,3511.4
18.4097707,-78.133638,Haddington,Hanover,3511.4
18.396561,-78.0753922,Pondside,Hanover,3511.4
18.3450397,-78.2775975,March Town,Hanover,3511.4
17.9709915,-76.7896092,East Down Town,Kingston,295401.0
18.0370515,-76.8300026,Denham Town,Kingston,295401.0
18.017874300000003,-76.8099041,Central Down Town,Kingston,295401.0
17.9696796,-76.78125959999998,Passmore Town,Kingston,295401.0
17.9775951,-76.76972009999999,Rollington Town,Kingston,295401.0
17.999862,-76.817184,D'Aguilar Town/ Rennock Lodge,Kingston,295401.0
17.9687247,-76.7884713,West Down Town,Kingston,295401.0
17.9746509,-76.8007301,Tivoli Gardens,Kingston,295401.0
17.9598402,-76.87722020000001,Newton Square,Kingston,295401.0
18.024718300000004,-76.8096019,Kingston Gardens,Kingston,295401.0
17.9711901,-76.7610647,Bournemouth Gardens,Kingston,295401.0
37.244319,-93.3888303,Springfield,Kingston,295401.0
18.017874300000003,-76.8099041,Rae Town,Kingston,295401.0
17.984597,-76.787029,Allman Town,Kingston,295401.0
17.9675956,-76.7685245,Manley Meadows,Kingston,295401.0
17.9779933,-76.77549,Franklyn Town,Kingston,295401.0
17.9797019,-76.75817940000002,Norman Gardens,Kingston,295401.0
17.9794542,-76.7913834,Fletchers Land,Kingston,295401.0
18.030429,-77.5361462,Hatfield,Manchester,9989.5
18.036775,-77.505284,Mandeville Proper,Manchester,9989.5
17.92865,-77.516319,Newport,Manchester,9989.5
17.993635100000002,-77.50747740000001,Knockpatrick,Manchester,9989.5
18.053520000000002,-77.5107955,New Green,Manchester,9989.5
18.056782000000002,-77.4716313,Royal Flat,Manchester,9989.5
18.1577304,-77.4572897,Part of Spaldings,Manchester,9989.5
18.2004437,-76.5004058,Snow Hill,Portland,4130.0
18.1712764,-76.44763209999999,Central Port Antonio,Portland,4130.0
18.1164768,-76.3344723,Windsor Forest,Portland,4130.0
18.1942695,-76.4756623,Norwich,Portland,4130.0
18.014149300000003,-76.7524087,Mona Heights,Saint Andrew,5854.5
18.021540100000003,-76.82066259999999,Seaward Pen,Saint Andrew,5854.5
17.9429207,-76.6672602,Bull Bay/ Seven Mile,Saint Andrew,5854.5
17.989284100000003,-76.8172184,Delacree Park/ Union Gardens,Saint Andrew,5854.5
18.006013199999998,-76.7471032,University,Saint Andrew,5854.5
17.952329100000004,-76.7192221,Harbour View,Saint Andrew,5854.5
18.058326,-76.85372,Red Hills (Rural),Saint Andrew,5854.5
18.0554552,-76.782702,Norbrook,Saint Andrew,5854.5
18.1279072,-76.8464094,Lawrence Tavern,Saint Andrew,5854.5
17.9954951,-76.8187557,Delacree Pen,Saint Andrew,5854.5
17.9675704,-76.80473719999999,Greenwich Town/ Newport West,Saint Andrew,5854.5
18.0104393,-76.829911,Tower Hill,Saint Andrew,5854.5
17.9857896,-76.8043355,Trench Town,Saint Andrew,5854.5
18.028568300000003,-76.84374559999999,Waterhouse,Saint Andrew,5854.5
18.0316384,-76.79095240000001,Grants Pen,Saint Andrew,5854.5
18.038067,-76.8092343,Whitehall,Saint Andrew,5854.5
18.051639399999996,-76.8115458,Havendale,Saint Andrew,5854.5
18.0256117,-76.7711626,Barbican,Saint Andrew,5854.5
18.0948578,-76.83532659999999,Cavaliers,Saint Andrew,5854.5
18.042897,-76.8075801,Roehampton,Saint Andrew,5854.5
17.9928319,-76.79063470000001,Cross Roads,Saint Andrew,5854.5
18.0295934,-76.82884890000001,Pembroke Hall,Saint Andrew,5854.5
18.0026187,-76.7956825,Kencot,Saint Andrew,5854.5
17.9898081,-76.77837480000001,Vineyard Town,Saint Andrew,5854.5
18.0145858,-76.74074909999999,Hope Tavern,Saint Andrew,5854.5
18.0240752,-76.8302515,Drewsland,Saint Andrew,5854.5
18.0077875,-76.76539240000001,Beverley Hills,Saint Andrew,5854.5
18.0317407,-76.83894129999999,Patrick City,Saint Andrew,5854.5
18.0147484,-76.7610647,Liguanea,Saint Andrew,5854.5
17.9939663,-76.7430993,Hermitage,Saint Andrew,5854.5
18.0123464,-76.7372819,Kintyre,Saint Andrew,5854.5
18.0202884,-76.8079418,Cassia Park,Saint Andrew,5854.5
18.030894600000003,-76.8256479,Three Oaks/ Glendale,Saint Andrew,5854.5
17.994700899999998,-76.8072196,Whitfield Town,Saint Andrew,5854.5
18.0434374,-76.7769324,Cherry Gardens,Saint Andrew,5854.5
18.002310100000003,-76.7920934,Half-Way-Tree,Saint Andrew,5854.5
18.062488000000002,-76.75845699999999,Boucher Park,Saint Andrew,5854.5
18.0127087,-76.8016686,Molynes Four Roads,Saint Andrew,5854.5
18.0186816,-76.74447359999999,Hope Pastures/ UTECH,Saint Andrew,5854.5
18.0154557,-76.7984452,Eastwood Park Gardens,Saint Andrew,5854.5
17.993023100000002,-76.7408666,August Town,Saint Andrew,5854.5
18.090160100000002,-76.8014512,Golden Spring,Saint Andrew,5854.5
18.0117678,-76.8230815,Cockburn Gardens,Saint Andrew,5854.5
18.0346081,-76.8173138,Molynes Gardens,Saint Andrew,5854.5
18.0296291,-76.85047440000001,Duhaney Park,Saint Andrew,5854.5
