Lat,Long,Name,Parish,Population
18.1089,76.8772,Above Rocks,Saint Catherine,"3,263"
18.2958,77.5414,Albert Town,Trelawny,"3,389"
18.2983,77.3575,Alexandria,Saint Ann,"1,672"
17.8711,77.5683,Alligator Pond,Manchester,"1,542"
18.4097,77.9339,Anchovy,Saint James,"3,633"
18.2703,76.7706,Annotto Bay,Saint Mary,"5,468"
18.1705,77.6484,Balaclava,Saint Elizabeth,"2,837"
18.3851,77.2662,Bamboo,Saint Ann,"3,732"
17.95,76.35,Bath,Saint Thomas,"2,151"
18.3,77.95,Bethel Town,Westmoreland,"2,768"
18.03,77.86,Black River,Saint Elizabeth,"3,675"
18.17,78.03,Bluefields,Westmoreland,"2,564"
18.1,77.02,Bog Walk,Saint Catherine,"8,794"
18.06,77.9,Brompton,Saint Elizabeth,"1,457"
18.4,77.36,Brown's Town,Saint Ann,"6,762"
18.23,76.67,Buff Bay,Portland,"2,596"
17.88,77.59,Bull Savanna,Saint Elizabeth,
18.32,77.89,Cambridge,Saint James,"3,384"
18.4,78.1,Cascade,Hanover,"1,220"
18.27,77.37,Cave Valley,Saint Ann,"1,777"
18.08,77.27,Chapelton,Clarendon,"3,930"
18.17,77.49,Christiana,Manchester,"7,235"
18.38,77.17,Claremont,Saint Ann,"2,154"
18.42,77.57,Clark's Town,Trelawny,"3,139"
18.22,77.5,Coleyville,Manchester,"3,320"
18.05,76.78,Constant Spring,Saint Andrew,"12,369"
18.13,77.22,Croft's Hill,Clarendon,"2,994"
17.9,76.25,Dalvey,Saint Thomas,"2,742"
18.23,77.97,Darliston,Westmoreland,"1,435"
18.47,77.39,Discovery Bay (Dry Harbour),Saint Ann,"2,230"
18.47,77.53,Duncans,Trelawny,"1,849"
17.92,76.6,Easington,Saint Thomas,"2,378"
18.18,77.08,Ewarton,Saint Catherine,"8,742"
18.49,77.66,Falmouth,Trelawny,"7,245"
18.15,77.35,Frankfield,Clarendon,"2,865"
18.3,78.15,Frome,Westmoreland,900
18.33,77,Gayle,Saint Mary,"3,205"
17.93,76.27,Golden Grove,Saint Thomas,"2,761"
18.05,76.7,Gordon Town,Saint Andrew,"1,049"
18.37,78.2,Grange Hill,Westmoreland,"6,530"
18.38,78.58,Green Island,Hanover,"1,591"
18.25,77,Guy's Hill,Saint Mary,"3,165"
17.88,77.25,Hayes,Clarendon,"8,447"
18.32,76.87,Highgate,Saint Mary,"5,418"
18.2,76.57,Hope Bay,Portland,"1,569"
18.25,78.3,Hopewell,Hanover,"4,268"
18.32,76.85,Islington,Saint Mary,"2,868"
18.17,77.23,Kellits,Clarendon,"2,291"
17.9833,76.8,Kingston,Kingston,"587,798"
18.07,77.75,Lacovia,Saint Elizabeth,"3,159"
18.15,77.02,Linstead,Saint Catherine,"14,114"
17.8,77.23,Lionel Town,Clarendon,"4,669"
18.3,78.2,Little London,Westmoreland,"1,848"
18.12,77.15,Lluidas Vale,Saint Catherine,"2,161"
18.44,78.18,Lucea,Hanover,"6,002"
18.3,77.02,Lucky Hill,Saint Mary,750
18.15,77.77,Maggotty,Saint Elizabeth,"1,359"
17.97,77.72,Malvern,Saint Elizabeth,"3,262"
18.05,76.28,Manchioneal,Portland,"2,185"
18.05,77.48,Mandeville,Manchester,"39,945"
18.35,77.79,Maroon Town,Saint James,"2,669"
18.02,76.67,Mavis Bank,Saint Andrew,"1,756"
17.97,77.24,May Pen,Clarendon,"45,903"
18.28,77.1,Moneague,Saint Ann,"2,880"
18.4666,77.9166,Montego Bay,Saint James,"96,488"
18.07,76.43,Moore Town,Portland,"1,054"
17.87,76.39,Morant Bay,Saint Thomas,"9,602"
17.97,77.6,Nain,Saint Elizabeth,"2,373"
18.32,78.33,Negril,Westmoreland,"4,184"
18.42,77.11,Ocho Rios,Saint Ann,"8,189"
17.92,77.1,Old Harbour,Saint Catherine,"17,778"
17.9,77.1,Old Harbour Bay,Saint Catherine,"5,405"
18.47,76.93,Oracabessa,Saint Mary,"4,066"
17.97,77.33,Osbourne Store,Clarendon,"3,390"
18.25,78.07,Petersfield,Westmoreland,"2,045"
18.08,77.1,Point Hill,Saint Catherine,"3,651"
18.16,76.38,Port Antonio,Portland,"13,246"
18.37,76.89,Port Maria,Saint Mary,"7,651"
17.93,76.85,Port Royal,Kingston,"3,004"
17.9499,76.8799,Portmore,Saint Catherine,"90,138"
18.03,77.42,Porus,Manchester,"5,095"
17.83,77.28,Race Course,Clarendon,"2,589"
18.23,76.9,Richmond,Saint Mary,"1,984"
18.57,77.45,Rio Bueno,Trelawny,"1,108"
18.15,76.97,Riversdale,Saint Catherine,"2,791"
17.77,77.27,Rocky Point,Clarendon,"2,744"
18.45,77.33,Runaway Bay,Saint Ann,"5,655"
18.44,77.22,Saint Ann's Bay,Saint Ann,"10,961"
18.45,78.1,Sandy Bay,Hanover,"4,476"
18.1,77.34,Sanguinetti,Clarendon,"3,900"
18.07,77.72,Santa Cruz,Saint Elizabeth,"8,144"
18.16,77.95,Savanna-la-Mar,Westmoreland,"16,553"
18.15,77.54,Seaford Town,Westmoreland,"4,108"
17.93,76.45,Seaforth,Saint Thomas,"4,108"
18.17,77.73,Siloah,Saint Elizabeth,"2,701"
17.88,77.67,Southfield,Saint Elizabeth,"2,671"
17.9958,76.9551,Spanish Town,Saint Catherine,"92,383"
18.08,76.78,Stony Hill,Saint Andrew,"8,244"
17.95,76.53,Trinity Ville,Saint Thomas,"2,614"
18.32,77.52,Ulster Spring,Trelawny,"1,391"
18.42,77.72,Wakefield,Trelawny,"2,724"
18.08,77.97,White House,Westmoreland,"3,157"
18.07,77.48,Williamsfield,Manchester,"2,800"
17.87,76.57,Yallahs,Saint Thomas,"6,902"
17.9557183,-77.2405153,Grantham,Clarendon,
17.9421569,-77.2333304,Mineral Heights,Clarendon,
17.9718957,-77.2430438,May Pen Proper,Clarendon,
17.8130192,-77.2807423,Longwood,Clarendon,
17.9699234,-76.7886145,Copse,Hanover,
18.3448183,-78.2979874,Logwood,Hanover,
18.4088304,-78.2025913,Cacoon,Hanover,
18.3699584,-78.3145181,Orange Bay,Hanover,
18.3509957,-77.977434,Ramble,Hanover,
18.3864142,-78.2034633,Kingsvale,Hanover,
18.3982445,-78.1942034,Dias,Hanover,
18.4290781,-78.1293451,Jericho,Hanover,
18.409796,-78.133592,Rock Spring,Hanover,
18.4504186,-78.1763937,Lucea West,Hanover,
18.3839997,-78.150467,Askenish,Hanover,
18.4504186,-78.1763937,Lucea East,Hanover,
18.4451128,-78.2198442,Lances Bay,Hanover,
18.396561,-78.0753922,Great Valley,Hanover,
18.4233505,-78.2454787,Cousins Cove,Hanover,
18.3650764,-78.0470674,Success,Hanover,
18.3565143,-78.2860538,Santoy,Hanover,
18.389526,-78.244952,Cauldwell,Hanover,
18.3440652,-78.0171776,Mount Peto,Hanover,
18.3875564,-78.129812,Maryland,Hanover,
18.428237,-78.131552,Cacoon Castle,Hanover,
18.321366,-77.9702959,Chester Castle,Hanover,
18.4097707,-78.133638,Haddington,Hanover,
18.396561,-78.0753922,Pondside,Hanover,
18.3450397,-78.2775975,March Town,Hanover,
17.9709915,-76.7896092,East Down Town,Kingston,
18.0370515,-76.8300026,Denham Town,Kingston,
18.0178743,-76.8099041,Central Down Town,Kingston,
17.9696796,-76.7812596,Passmore Town,Kingston,
17.9775951,-76.7697201,Rollington Town,Kingston,
17.999862,-76.817184,D'Aguilar Town/ Rennock Lodge,Kingston,
17.9687247,-76.7884713,West Down Town,Kingston,
17.9746509,-76.8007301,Tivoli Gardens,Kingston,
17.9598402,-76.8772202,Newton Square,Kingston,
18.0247183,-76.8096019,Kingston Gardens,Kingston,
17.9711901,-76.7610647,Bournemouth Gardens,Kingston,
37.244319,-93.3888303,Springfield,Kingston,
18.0178743,-76.8099041,Rae Town,Kingston,
17.984597,-76.787029,Allman Town,Kingston,
17.9675956,-76.7685245,Manley Meadows,Kingston,
17.9779933,-76.77549,Franklyn Town,Kingston,
