Name,Population,Lat,Long,Parish
Above Rocks,"3,263",18.1089,76.8772,Saint Catherine
Albert Town,"3,389",18.2958,77.5414,Trelawny
Alexandria,"1,672",18.2983,77.3575,Saint Ann
Alligator Pond,"1,542",17.8711,77.5683,Manchester
Anchovy,"3,633",18.4097,77.9339,Saint James
Annotto Bay,"5,468",18.2703,76.7706,Saint Mary
Balaclava,"2,837",18.1705,77.6484,Saint Elizabeth
Bamboo,"3,732",18.3851,77.2662,Saint Ann
Bath,"2,151",17.95,76.35,Saint Thomas
Bethel Town,"2,768",18.3,77.95,Westmoreland
Black River,"3,675",18.03,77.86,Saint Elizabeth
Bluefields,"2,564",18.17,78.03,Westmoreland
Bog Walk,"8,794",18.1,77.02,Saint Catherine
Brompton,"1,457",18.06,77.9,Saint Elizabeth
Brown's Town,"6,762",18.4,77.36,Saint Ann
Buff Bay,"2,596",18.23,76.67,Portland
Bull Savanna,,17.88,77.59,Saint Elizabeth
Cambridge,"3,384",18.32,77.89,Saint James
Cascade,"1,220",18.4,78.1,Hanover
Cave Valley,"1,777",18.27,77.37,Saint Ann
Chapelton,"3,930",18.08,77.27,Clarendon
Christiana,"7,235",18.17,77.49,Manchester
Claremont,"2,154",18.38,77.17,Saint Ann
Clark's Town,"3,139",18.42,77.57,Trelawny
Coleyville,"3,320",18.22,77.5,Manchester
Constant Spring,"12,369",18.05,76.78,Saint Andrew
Croft's Hill,"2,994",18.13,77.22,Clarendon
Dalvey,"2,742",17.9,76.25,Saint Thomas
Darliston,"1,435",18.23,77.97,Westmoreland
Discovery Bay (Dry Harbour),"2,230",18.47,77.39,Saint Ann
Duncans,"1,849",18.47,77.53,Trelawny
Easington,"2,378",17.92,76.6,Saint Thomas
Ewarton,"8,742",18.18,77.08,Saint Catherine
Falmouth,"7,245",18.49,77.66,Trelawny
Frankfield,"2,865",18.15,77.35,Clarendon
Frome,900,18.3,78.15,Westmoreland
Gayle,"3,205",18.33,77,Saint Mary
Golden Grove,"2,761",17.93,76.27,Saint Thomas
Gordon Town,"1,049",18.05,76.7,Saint Andrew
Grange Hill,"6,530",18.37,78.2,Westmoreland
Green Island,"1,591",18.38,78.58,Hanover
Guy's Hill,"3,165",18.25,77,Saint Mary
Hayes,"8,447",17.88,77.25,Clarendon
Highgate,"5,418",18.32,76.87,Saint Mary
Hope Bay,"1,569",18.2,76.57,Portland
Hopewell,"4,268",18.25,78.3,Hanover
Islington,"2,868",18.32,76.85,Saint Mary
Kellits,"2,291",18.17,77.23,Clarendon
Kingston,"587,798",17.9833,76.8,Kingston / St. Andrew
Lacovia,"3,159",18.07,77.75,Saint Elizabeth
Linstead,"14,114",18.15,77.02,Saint Catherine
Lionel Town,"4,669",17.8,77.23,Clarendon
Little London,"1,848",18.3,78.2,Westmoreland
Lluidas Vale,"2,161",18.12,77.15,Saint Catherine
Lucea,"6,002",18.44,78.18,Hanover
Lucky Hill,750,18.3,77.02,Saint Mary
Maggotty,"1,359",18.15,77.77,Saint Elizabeth
Malvern,"3,262",17.97,77.72,Saint Elizabeth
Manchioneal,"2,185",18.05,76.28,Portland
Mandeville,"39,945",18.05,77.48,Manchester
Maroon Town,"2,669",18.35,77.79,Saint James
Mavis Bank,"1,756",18.02,76.67,Saint Andrew
May Pen,"45,903",17.97,77.24,Clarendon
Moneague,"2,880",18.28,77.1,Saint Ann
Montego Bay,"96,488",18.4666,77.9166,Saint James
Moore Town,"1,054",18.07,76.43,Portland
Morant Bay,"9,602",17.87,76.39,Saint Thomas
Nain,"2,373",17.97,77.6,Saint Elizabeth
Negril,"4,184",18.32,78.33,Westmoreland
Ocho Rios,"8,189",18.42,77.11,Saint Ann
Old Harbour,"17,778",17.92,77.1,Saint Catherine
Old Harbour Bay,"5,405",17.9,77.1,Saint Catherine
Oracabessa,"4,066",18.47,76.93,Saint Mary
Osbourne Store,"3,390",17.97,77.33,Clarendon
Petersfield,"2,045",18.25,78.07,Westmoreland
Point Hill,"3,651",18.08,77.1,Saint Catherine
Port Antonio,"13,246",18.16,76.38,Portland
Port Maria,"7,651",18.37,76.89,Saint Mary
Port Royal,"3,004",17.93,76.85,Kingston
Portmore,"90,138",17.9499,76.8799,Saint Catherine
Porus,"5,095",18.03,77.42,Manchester
Race Course,"2,589",17.83,77.28,Clarendon
Richmond,"1,984",18.23,76.9,Saint Mary
Rio Bueno,"1,108",18.57,77.45,Trelawny
Riversdale,"2,791",18.15,76.97,Saint Catherine
Rocky Point,"2,744",17.77,77.27,Clarendon
Runaway Bay,"5,655",18.45,77.33,Saint Ann
Saint Ann's Bay,"10,961",18.44,77.22,Saint Ann
Sandy Bay,"4,476",18.45,78.1,Hanover
Sanguinetti,"3,900",18.1,77.34,Clarendon
Santa Cruz,"8,144",18.07,77.72,Saint Elizabeth
Savanna-la-Mar,"16,553",18.16,77.95,Westmoreland
Seaford Town,"4,108",18.15,77.54,Westmoreland
Seaforth,"4,108",17.93,76.45,Saint Thomas
Siloah,"2,701",18.17,77.73,Saint Elizabeth
Southfield,"2,671",17.88,77.67,Saint Elizabeth
Spanish Town,"92,383",17.9958,76.9551,Saint Catherine
Stony Hill,"8,244",18.08,76.78,Saint Andrew
Trinity Ville,"2,614",17.95,76.53,Saint Thomas
Ulster Spring,"1,391",18.32,77.52,Trelawny
Wakefield,"2,724",18.42,77.72,Trelawny
White House,"3,157",18.08,77.97,Westmoreland
Williamsfield,"2,800",18.07,77.48,Manchester
Yallahs,"6,902",17.87,76.57,Saint Thomas
