Id,Label,timeset,Lat,Long,Parish,Population
Above Rocks,Above Rocks,,18.1089,-76.8772,Saint Catherine,3263.0
Annotto Bay,Annotto Bay,,18.2703,-76.7706,Saint Mary,5468.0
Bog Walk,Bog Walk,,18.1,-77.02,Saint Catherine,8794.0
Constant Spring,Constant Spring,,18.05,-76.78,Saint Andrew,12369.0
Ewarton,Ewarton,,18.18,-77.08,Saint Catherine,8742.0
Gordon Town,Gordon Town,,18.05,-76.7,Saint Andrew,1049.0
Albert Town,Albert Town,,18.2958,-77.5414,Trelawny,3389.0
Alexandria,Alexandria,,18.2983,-77.3575,Saint Ann,1672.0
Balaclava,Balaclava,,18.1705,-77.6484,Saint Elizabeth,2837.0
Brown's Town,Brown's Town,,18.4,-77.36,Saint Ann,6762.0
Cave Valley,Cave Valley,,18.27,-77.37,Saint Ann,1777.0
Christiana,Christiana,,18.17,-77.49,Manchester,7235.0
Bamboo,Bamboo,,18.3851,-77.2662,Saint Ann,3732.0
Alligator Pond,Alligator Pond,,17.8711,-77.5683,Manchester,1542.0
Bull Savanna,Bull Savanna,,17.88,-77.59,Saint Elizabeth,3163.8
Malvern,Malvern,,17.97,-77.72,Saint Elizabeth,3262.0
Mandeville,Mandeville,,18.05,-77.48,Manchester,39945.0
Nain,Nain,,17.97,-77.6,Saint Elizabeth,2373.0
Porus,Porus,,18.03,-77.42,Manchester,5095.0
Anchovy,Anchovy,,18.4097,-77.9339,Saint James,3633.0
Bethel Town,Bethel Town,,18.3,-77.95,Westmoreland,2768.0
Cambridge,Cambridge,,18.32,-77.89,Saint James,3384.0
Cascade,Cascade,,18.4,-78.1,Hanover,1220.0
Darliston,Darliston,,18.23,-77.97,Westmoreland,1435.0
Maroon Town,Maroon Town,,18.35,-77.79,Saint James,2669.0
Buff Bay,Buff Bay,,18.23,-76.67,Portland,2596.0
Guy's Hill,Guy's Hill,,18.25,-77.0,Saint Mary,3165.0
Coleyville,Coleyville,,18.22,-77.5,Manchester,3320.0
Lacovia,Lacovia,,18.07,-77.75,Saint Elizabeth,3159.0
Claremont,Claremont,,18.38,-77.17,Saint Ann,2154.0
Bath,Bath,,17.95,-76.35,Saint Thomas,2151.0
Dalvey,Dalvey,,17.9,-76.25,Saint Thomas,2742.0
Golden Grove,Golden Grove,,17.93,-76.27,Saint Thomas,2761.0
Manchioneal,Manchioneal,,18.05,-76.28,Portland,2185.0
Moore Town,Moore Town,,18.07,-76.43,Portland,1054.0
Morant Bay,Morant Bay,,17.87,-76.39,Saint Thomas,9602.0
Bluefields,Bluefields,,18.17,-78.03,Westmoreland,2564.0
Black River,Black River,,18.03,-77.86,Saint Elizabeth,3675.0
Brompton,Brompton,,18.06,-77.9,Saint Elizabeth,1457.0
Maggotty,Maggotty,,18.15,-77.77,Saint Elizabeth,1359.0
Croft's Hill,Croft's Hill,,18.13,-77.22,Clarendon,2994.0
Highgate,Highgate,,18.32,-76.87,Saint Mary,5418.0
Chapelton,Chapelton,,18.08,-77.27,Clarendon,3930.0
Frankfield,Frankfield,,18.15,-77.35,Clarendon,2865.0
Hayes,Hayes,,17.88,-77.25,Clarendon,8447.0
Clark's Town,Clark's Town,,18.42,-77.57,Trelawny,3139.0
Discovery Bay (Dry Harbour),Discovery Bay (Dry Harbour),,18.47,-77.39,Saint Ann,2230.0
Duncans,Duncans,,18.47,-77.53,Trelawny,1849.0
Easington,Easington,,17.92,-76.6,Saint Thomas,2378.0
Kingston,Kingston,,17.9833,-76.8,Kingston,587798.0
Mavis Bank,Mavis Bank,,18.02,-76.67,Saint Andrew,1756.0
Falmouth,Falmouth,,18.49,-77.66,Trelawny,7245.0
Rio Bueno,Rio Bueno,,18.57,-77.45,Trelawny,1108.0
Frome,Frome,,18.3,-78.15,Westmoreland,900.0
Grange Hill,Grange Hill,,18.37,-78.2,Westmoreland,6530.0
Gayle,Gayle,,18.33,-77.0,Saint Mary,3205.0
Islington,Islington,,18.32,-76.85,Saint Mary,2868.0
Hopewell,Hopewell,,18.25,-78.3,Hanover,4268.0
Little London,Little London,,18.3,-78.2,Westmoreland,1848.0
Lionel Town,Lionel Town,,17.8,-77.23,Clarendon,4669.0
May Pen,May Pen,,17.97,-77.24,Clarendon,45903.0
Old Harbour,Old Harbour,,17.92,-77.1,Saint Catherine,17778.0
Hope Bay,Hope Bay,,18.2,-76.57,Portland,1569.0
Lucea,Lucea,,18.44,-78.18,Hanover,6002.0
Kellits,Kellits,,18.17,-77.23,Clarendon,2291.0
Linstead,Linstead,,18.15,-77.02,Saint Catherine,14114.0
Old Harbour Bay,Old Harbour Bay,,17.9,-77.1,Saint Catherine,5405.0
Lluidas Vale,Lluidas Vale,,18.12,-77.15,Saint Catherine,2161.0
Lucky Hill,Lucky Hill,,18.3,-77.02,Saint Mary,750.0
Moneague,Moneague,,18.28,-77.1,Saint Ann,2880.0
Montego Bay,Montego Bay,,18.4666,-77.9166,Saint James,96488.0
Negril,Negril,,18.32,-78.33,Westmoreland,4184.0
Ocho Rios,Ocho Rios,,18.42,-77.11,Saint Ann,8189.0
Oracabessa,Oracabessa,,18.47,-76.93,Saint Mary,4066.0
Osbourne Store,Osbourne Store,,17.97,-77.33,Clarendon,3390.0
Petersfield,Petersfield,,18.25,-78.07,Westmoreland,2045.0
Point Hill,Point Hill,,18.08,-77.1,Saint Catherine,3651.0
Port Antonio,Port Antonio,,18.16,-76.38,Portland,13246.0
Snow Hill,Snow Hill,,18.2004437,-76.5004058,Portland,4130.0
Port Maria,Port Maria,,18.37,-76.89,Saint Mary,7651.0
Port Royal,Port Royal,,17.93,-76.85,Kingston,3004.0
Portmore,Portmore,,17.9499,-76.8799,Saint Catherine,90138.0
Race Course,Race Course,,17.83,-77.28,Clarendon,2589.0
Richmond,Richmond,,18.23,-76.9,Saint Mary,1984.0
Riversdale,Riversdale,,18.15,-76.97,Saint Catherine,2791.0
Rocky Point,Rocky Point,,17.77,-77.27,Clarendon,2744.0
Runaway Bay,Runaway Bay,,18.45,-77.33,Saint Ann,5655.0
Saint Ann's Bay,Saint Ann's Bay,,18.44,-77.22,Saint Ann,10961.0
Sandy Bay,Sandy Bay,,18.45,-78.1,Hanover,4476.0
Sanguinetti,Sanguinetti,,18.1,-77.34,Clarendon,3900.0
Santa Cruz,Santa Cruz,,18.07,-77.72,Saint Elizabeth,8144.0
Savanna-la-Mar,Savanna-la-Mar,,18.16,-77.95,Westmoreland,16553.0
Seaford Town,Seaford Town,,18.15,-77.54,Westmoreland,4108.0
Seaforth,Seaforth,,17.93,-76.45,Saint Thomas,4108.0
Siloah,Siloah,,18.17,-77.73,Saint Elizabeth,2701.0
Southfield,Southfield,,17.88,-77.67,Saint Elizabeth,2671.0
Spanish Town,Spanish Town,,17.9958,-76.9551,Saint Catherine,92383.0
Stony Hill,Stony Hill,,18.08,-76.78,Saint Andrew,8244.0
Trinity Ville,Trinity Ville,,17.95,-76.53,Saint Thomas,2614.0
Ulster Spring,Ulster Spring,,18.32,-77.52,Trelawny,1391.0
Wakefield,Wakefield,,18.42,-77.72,Trelawny,2724.0
White House,White House,,18.08,-77.97,Westmoreland,3157.0
Williamsfield,Williamsfield,,18.07,-77.48,Manchester,2800.0
Yallahs,Yallahs,,17.87,-76.57,Saint Thomas,6902.0
Grantham,Grantham,,17.9557183,-77.2405153,Clarendon,7611.0909090000005
Mineral Heights,Mineral Heights,,17.9421569,-77.2333304,Clarendon,7611.0909090000005
May Pen Proper,May Pen Proper,,17.9718957,-77.2430438,Clarendon,7611.0909090000005
Longwood,Longwood,,17.8130192,-77.2807423,Clarendon,7611.0909090000005
Copse,Copse,,17.9699234,-76.78861450000001,Hanover,3511.4
Logwood,Logwood,,18.344818300000004,-78.29798740000001,Hanover,3511.4
Cacoon,Cacoon,,18.408830399999996,-78.2025913,Hanover,3511.4
Orange Bay,Orange Bay,,18.369958399999998,-78.3145181,Hanover,3511.4
Ramble,Ramble,,18.3509957,-77.977434,Hanover,3511.4
Kingsvale,Kingsvale,,18.3864142,-78.2034633,Hanover,3511.4
Dias,Dias,,18.3982445,-78.1942034,Hanover,3511.4
Jericho,Jericho,,18.4290781,-78.1293451,Hanover,3511.4
Rock Spring,Rock Spring,,18.409796,-78.13359200000001,Hanover,3511.4
Lucea West,Lucea West,,18.450418600000003,-78.1763937,Hanover,3511.4
Askenish,Askenish,,18.3839997,-78.150467,Hanover,3511.4
Lucea East,Lucea East,,18.450418600000003,-78.1763937,Hanover,3511.4
Lances Bay,Lances Bay,,18.4451128,-78.2198442,Hanover,3511.4
Great Valley,Great Valley,,18.396561,-78.0753922,Hanover,3511.4
Cousins Cove,Cousins Cove,,18.4233505,-78.2454787,Hanover,3511.4
Success,Success,,18.3650764,-78.04706740000002,Hanover,3511.4
Santoy,Santoy,,18.3565143,-78.28605379999999,Hanover,3511.4
Cauldwell,Cauldwell,,18.389526,-78.244952,Hanover,3511.4
Mount Peto,Mount Peto,,18.3440652,-78.0171776,Hanover,3511.4
Maryland,Maryland,,18.387556399999998,-78.129812,Hanover,3511.4
Cacoon Castle,Cacoon Castle,,18.428237,-78.131552,Hanover,3511.4
Chester Castle,Chester Castle,,18.321366,-77.9702959,Hanover,3511.4
Haddington,Haddington,,18.4097707,-78.133638,Hanover,3511.4
Pondside,Pondside,,18.396561,-78.0753922,Hanover,3511.4
March Town,March Town,,18.3450397,-78.2775975,Hanover,3511.4
East Down Town,East Down Town,,17.9709915,-76.7896092,Kingston,295401.0
Denham Town,Denham Town,,18.0370515,-76.8300026,Kingston,295401.0
Central Down Town,Central Down Town,,18.017874300000003,-76.8099041,Kingston,295401.0
Passmore Town,Passmore Town,,17.9696796,-76.78125959999998,Kingston,295401.0
Rollington Town,Rollington Town,,17.9775951,-76.76972009999999,Kingston,295401.0
D'Aguilar Town/ Rennock Lodge,D'Aguilar Town/ Rennock Lodge,,17.999862,-76.817184,Kingston,295401.0
West Down Town,West Down Town,,17.9687247,-76.7884713,Kingston,295401.0
Tivoli Gardens,Tivoli Gardens,,17.9746509,-76.8007301,Kingston,295401.0
Newton Square,Newton Square,,17.9598402,-76.87722020000001,Kingston,295401.0
Kingston Gardens,Kingston Gardens,,18.024718300000004,-76.8096019,Kingston,295401.0
Bournemouth Gardens,Bournemouth Gardens,,17.9711901,-76.7610647,Kingston,295401.0
Rae Town,Rae Town,,18.017874300000003,-76.8099041,Kingston,295401.0
Allman Town,Allman Town,,17.984597,-76.787029,Kingston,295401.0
Manley Meadows,Manley Meadows,,17.9675956,-76.7685245,Kingston,295401.0
Franklyn Town,Franklyn Town,,17.9779933,-76.77549,Kingston,295401.0
Norman Gardens,Norman Gardens,,17.9797019,-76.75817940000002,Kingston,295401.0
Fletchers Land,Fletchers Land,,17.9794542,-76.7913834,Kingston,295401.0
Hatfield,Hatfield,,18.030429,-77.5361462,Manchester,9989.5
Mandeville Proper,Mandeville Proper,,18.036775,-77.505284,Manchester,9989.5
Newport,Newport,,17.92865,-77.516319,Manchester,9989.5
Knockpatrick,Knockpatrick,,17.993635100000002,-77.50747740000001,Manchester,9989.5
New Green,New Green,,18.053520000000002,-77.5107955,Manchester,9989.5
Royal Flat,Royal Flat,,18.056782000000002,-77.4716313,Manchester,9989.5
Part of Spaldings,Part of Spaldings,,18.1577304,-77.4572897,Manchester,9989.5
Central Port Antonio,Central Port Antonio,,18.1712764,-76.44763209999999,Portland,4130.0
Windsor Forest,Windsor Forest,,18.1164768,-76.3344723,Portland,4130.0
Norwich,Norwich,,18.1942695,-76.4756623,Portland,4130.0
Mona Heights,Mona Heights,,18.014149300000003,-76.7524087,Saint Andrew,5854.5
Seaward Pen,Seaward Pen,,18.021540100000003,-76.82066259999999,Saint Andrew,5854.5
Bull Bay/ Seven Mile,Bull Bay/ Seven Mile,,17.9429207,-76.6672602,Saint Andrew,5854.5
Delacree Park/ Union Gardens,Delacree Park/ Union Gardens,,17.989284100000003,-76.8172184,Saint Andrew,5854.5
University,University,,18.006013199999998,-76.7471032,Saint Andrew,5854.5
Harbour View,Harbour View,,17.952329100000004,-76.7192221,Saint Andrew,5854.5
Red Hills (Rural),Red Hills (Rural),,18.058326,-76.85372,Saint Andrew,5854.5
Norbrook,Norbrook,,18.0554552,-76.782702,Saint Andrew,5854.5
Lawrence Tavern,Lawrence Tavern,,18.1279072,-76.8464094,Saint Andrew,5854.5
Delacree Pen,Delacree Pen,,17.9954951,-76.8187557,Saint Andrew,5854.5
Greenwich Town/ Newport West,Greenwich Town/ Newport West,,17.9675704,-76.80473719999999,Saint Andrew,5854.5
Tower Hill,Tower Hill,,18.0104393,-76.829911,Saint Andrew,5854.5
Trench Town,Trench Town,,17.9857896,-76.8043355,Saint Andrew,5854.5
Waterhouse,Waterhouse,,18.028568300000003,-76.84374559999999,Saint Andrew,5854.5
Grants Pen,Grants Pen,,18.0316384,-76.79095240000001,Saint Andrew,5854.5
Whitehall,Whitehall,,18.038067,-76.8092343,Saint Andrew,5854.5
Havendale,Havendale,,18.051639399999996,-76.8115458,Saint Andrew,5854.5
Barbican,Barbican,,18.0256117,-76.7711626,Saint Andrew,5854.5
Cavaliers,Cavaliers,,18.0948578,-76.83532659999999,Saint Andrew,5854.5
Roehampton,Roehampton,,18.042897,-76.8075801,Saint Andrew,5854.5
Cross Roads,Cross Roads,,17.9928319,-76.79063470000001,Saint Andrew,5854.5
Pembroke Hall,Pembroke Hall,,18.0295934,-76.82884890000001,Saint Andrew,5854.5
Kencot,Kencot,,18.0026187,-76.7956825,Saint Andrew,5854.5
Vineyard Town,Vineyard Town,,17.9898081,-76.77837480000001,Saint Andrew,5854.5
Hope Tavern,Hope Tavern,,18.0145858,-76.74074909999999,Saint Andrew,5854.5
Drewsland,Drewsland,,18.0240752,-76.8302515,Saint Andrew,5854.5
Beverley Hills,Beverley Hills,,18.0077875,-76.76539240000001,Saint Andrew,5854.5
Patrick City,Patrick City,,18.0317407,-76.83894129999999,Saint Andrew,5854.5
Liguanea,Liguanea,,18.0147484,-76.7610647,Saint Andrew,5854.5
Hermitage,Hermitage,,17.9939663,-76.7430993,Saint Andrew,5854.5
Kintyre,Kintyre,,18.0123464,-76.7372819,Saint Andrew,5854.5
Cassia Park,Cassia Park,,18.0202884,-76.8079418,Saint Andrew,5854.5
Three Oaks/ Glendale,Three Oaks/ Glendale,,18.030894600000003,-76.8256479,Saint Andrew,5854.5
Whitfield Town,Whitfield Town,,17.994700899999998,-76.8072196,Saint Andrew,5854.5
Cherry Gardens,Cherry Gardens,,18.0434374,-76.7769324,Saint Andrew,5854.5
Half-Way-Tree,Half-Way-Tree,,18.002310100000003,-76.7920934,Saint Andrew,5854.5
Boucher Park,Boucher Park,,18.062488000000002,-76.75845699999999,Saint Andrew,5854.5
Molynes Four Roads,Molynes Four Roads,,18.0127087,-76.8016686,Saint Andrew,5854.5
Hope Pastures/ UTECH,Hope Pastures/ UTECH,,18.0186816,-76.74447359999999,Saint Andrew,5854.5
Eastwood Park Gardens,Eastwood Park Gardens,,18.0154557,-76.7984452,Saint Andrew,5854.5
August Town,August Town,,17.993023100000002,-76.7408666,Saint Andrew,5854.5
Golden Spring,Golden Spring,,18.090160100000002,-76.8014512,Saint Andrew,5854.5
Cockburn Gardens,Cockburn Gardens,,18.0117678,-76.8230815,Saint Andrew,5854.5
