Id,Label,timeset,lat,long,parish,population,modularity_class,Weighted Degree,recovery weight
Above Rocks,Above Rocks,,18.1089,-76.8772,Saint Catherine,3263,0,139,0.25
Annotto Bay,Annotto Bay,,18.2703,-76.7706,Saint Mary,5468,1,33,0.25
Bog Walk,Bog Walk,,18.1,-77.02,Saint Catherine,8794,0,88,0.25
Constant Spring,Constant Spring,,18.05,-76.78,Saint Andrew,12369,0,127,0.25
Ewarton,Ewarton,,18.18,-77.08,Saint Catherine,8742,0,34,0.25
Gordon Town,Gordon Town,,18.05,-76.7,Saint Andrew,1049,0,100,0.25
Albert Town,Albert Town,,18.2958,-77.5414,Trelawny,3389,5,36,0.25
Alexandria,Alexandria,,18.2983,-77.3575,Saint Ann,1672,5,34,0.25
Balaclava,Balaclava,,18.1705,-77.6484,Saint Elizabeth,2837,3,42,0.25
Brown's Town,Brown's Town,,18.4,-77.36,Saint Ann,6762,5,28,0.25
Cave Valley,Cave Valley,,18.27,-77.37,Saint Ann,1777,5,29,0.25
Christiana,Christiana,,18.17,-77.49,Manchester,7235,3,21,0.25
Bamboo,Bamboo,,18.3851,-77.2662,Saint Ann,3732,5,26,0.25
Alligator Pond,Alligator Pond,,17.8711,-77.5683,Manchester,1542,3,32,0.25
Bull Savanna,Bull Savanna,,17.88,-77.59,Saint Elizabeth,3163.8,3,31,0.25
Malvern,Malvern,,17.97,-77.72,Saint Elizabeth,3262,3,15,0.25
Mandeville,Mandeville,,18.05,-77.48,Manchester,39945,3,13,0.25
Nain,Nain,,17.97,-77.6,Saint Elizabeth,2373,3,8,0.25
Porus,Porus,,18.03,-77.42,Manchester,5095,3,5,0.25
Anchovy,Anchovy,,18.4097,-77.9339,Saint James,3633,2,88,0.25
Bethel Town,Bethel Town,,18.3,-77.95,Westmoreland,2768,2,98,0.25
Cambridge,Cambridge,,18.32,-77.89,Saint James,3384,2,82,0.25
Cascade,Cascade,,18.4,-78.1,Hanover,1220,2,93,0.25
Darliston,Darliston,,18.23,-77.97,Westmoreland,1435,2,35,0.25
Maroon Town,Maroon Town,,18.35,-77.79,Saint James,2669,2,34,0.25
Buff Bay,Buff Bay,,18.23,-76.67,Portland,2596,1,31,0.25
Guy's Hill,Guy's Hill,,18.25,-77,Saint Mary,3165,1,14,0.25
Coleyville,Coleyville,,18.22,-77.5,Manchester,3320,3,15,0.25
Lacovia,Lacovia,,18.07,-77.75,Saint Elizabeth,3159,3,20,0.25
Claremont,Claremont,,18.38,-77.17,Saint Ann,2154,5,22,0.25
Bath,Bath,,17.95,-76.35,Saint Thomas,2151,4,23,0.25
Dalvey,Dalvey,,17.9,-76.25,Saint Thomas,2742,4,16,0.25
Golden Grove,Golden Grove,,17.93,-76.27,Saint Thomas,2761,4,15,0.25
Manchioneal,Manchioneal,,18.05,-76.28,Portland,2185,4,15,0.25
Moore Town,Moore Town,,18.07,-76.43,Portland,1054,4,16,0.25
Morant Bay,Morant Bay,,17.87,-76.39,Saint Thomas,9602,4,6,0.25
Bluefields,Bluefields,,18.17,-78.03,Westmoreland,2564,2,48,0.25
Black River,Black River,,18.03,-77.86,Saint Elizabeth,3675,3,31,0.25
Brompton,Brompton,,18.06,-77.9,Saint Elizabeth,1457,3,27,0.25
Maggotty,Maggotty,,18.15,-77.77,Saint Elizabeth,1359,3,9,0.25
Croft's Hill,Croft's Hill,,18.13,-77.22,Clarendon,2994,7,17,0.25
Highgate,Highgate,,18.32,-76.87,Saint Mary,5418,1,10,0.25
Chapelton,Chapelton,,18.08,-77.27,Clarendon,3930,7,22,0.25
Frankfield,Frankfield,,18.15,-77.35,Clarendon,2865,7,11,0.25
Hayes,Hayes,,17.88,-77.25,Clarendon,8447,7,15,0.25
Clark's Town,Clark's Town,,18.42,-77.57,Trelawny,3139,5,25,0.25
Discovery Bay (Dry Harbour),Discovery Bay (Dry Harbour),,18.47,-77.39,Saint Ann,2230,5,12,0.25
Duncans,Duncans,,18.47,-77.53,Trelawny,1849,5,17,0.25
Easington,Easington,,17.92,-76.6,Saint Thomas,2378,0,69,0.25
Kingston,Kingston,,17.9833,-76.8,Kingston,16411,0,93,1
Mavis Bank,Mavis Bank,,18.02,-76.67,Saint Andrew,1756,4,10,0.25
Falmouth,Falmouth,,18.49,-77.66,Trelawny,7245,2,30,0.25
Rio Bueno,Rio Bueno,,18.57,-77.45,Trelawny,1108,5,5,0.25
Frome,Frome,,18.3,-78.15,Westmoreland,900,6,47,0.25
Grange Hill,Grange Hill,,18.37,-78.2,Westmoreland,6530,6,33,0.25
Gayle,Gayle,,18.33,-77,Saint Mary,3205,1,17,0.25
Islington,Islington,,18.32,-76.85,Saint Mary,2868,1,9,0.25
Hopewell,Hopewell,,18.25,-78.3,Hanover,4268,6,24,0.25
Little London,Little London,,18.3,-78.2,Westmoreland,1848,6,22,0.25
Lionel Town,Lionel Town,,17.8,-77.23,Clarendon,4669,7,11,0.25
May Pen,May Pen,,17.97,-77.24,Clarendon,45903,7,8,0.25
Old Harbour,Old Harbour,,17.92,-77.1,Saint Catherine,17778,7,9,0.25
Hope Bay,Hope Bay,,18.2,-76.57,Portland,1569,4,9,0.25
Lucea,Lucea,,18.44,-78.18,Hanover,6002,6,9,0.25
Kellits,Kellits,,18.17,-77.23,Clarendon,2291,7,8,0.25
Linstead,Linstead,,18.15,-77.02,Saint Catherine,14114,0,5,0.25
Old Harbour Bay,Old Harbour Bay,,17.9,-77.1,Saint Catherine,5405,7,9,0.25
Lluidas Vale,Lluidas Vale,,18.12,-77.15,Saint Catherine,2161,7,7,0.25
Lucky Hill,Lucky Hill,,18.3,-77.02,Saint Mary,750,1,7,0.25
Moneague,Moneague,,18.28,-77.1,Saint Ann,2880,5,5,0.25
Montego Bay,Montego Bay,,18.4666,-77.9166,Saint James,96488,2,9,0.25
Negril,Negril,,18.32,-78.33,Westmoreland,4184,6,6,0.25
Ocho Rios,Ocho Rios,,18.42,-77.11,Saint Ann,8189,1,6,0.25
Oracabessa,Oracabessa,,18.47,-76.93,Saint Mary,4066,1,5,0.25
Osbourne Store,Osbourne Store,,17.97,-77.33,Clarendon,3390,7,5,0.25
Petersfield,Petersfield,,18.25,-78.07,Westmoreland,2045,2,5,0.25
Point Hill,Point Hill,,18.08,-77.1,Saint Catherine,3651,7,5,0.25
Port Antonio,Port Antonio,,18.16,-76.38,Portland,13246,4,9,0.25
Snow Hill,Snow Hill,,18.200444,-76.500406,Portland,4130,4,6,0.25
Port Maria,Port Maria,,18.37,-76.89,Saint Mary,7651,1,5,0.25
Port Royal,Port Royal,,17.93,-76.85,Kingston,3004,0,5,0.25
Portmore,Portmore,,17.9499,-76.8799,Saint Catherine,90138,0,5,0.25
Race Course,Race Course,,17.83,-77.28,Clarendon,2589,7,5,0.25
Richmond,Richmond,,18.23,-76.9,Saint Mary,1984,1,5,0.25
Riversdale,Riversdale,,18.15,-76.97,Saint Catherine,2791,0,5,0.25
Rocky Point,Rocky Point,,17.77,-77.27,Clarendon,2744,7,5,0.25
Runaway Bay,Runaway Bay,,18.45,-77.33,Saint Ann,5655,5,5,0.25
Saint Ann's Bay,Saint Ann's Bay,,18.44,-77.22,Saint Ann,10961,5,5,0.25
Sandy Bay,Sandy Bay,,18.45,-78.1,Hanover,4476,2,5,0.25
Sanguinetti,Sanguinetti,,18.1,-77.34,Clarendon,3900,3,5,0.25
Santa Cruz,Santa Cruz,,18.07,-77.72,Saint Elizabeth,8144,3,5,0.25
Savanna-la-Mar,Savanna-la-Mar,,18.16,-77.95,Westmoreland,16553,2,5,0.25
Seaford Town,Seaford Town,,18.15,-77.54,Westmoreland,4108,3,5,0.25
Seaforth,Seaforth,,17.93,-76.45,Saint Thomas,4108,4,5,0.25
Siloah,Siloah,,18.17,-77.73,Saint Elizabeth,2701,3,5,0.25
Southfield,Southfield,,17.88,-77.67,Saint Elizabeth,2671,3,5,0.25
Spanish Town,Spanish Town,,17.9958,-76.9551,Saint Catherine,92383,0,5,0.25
Stony Hill,Stony Hill,,18.08,-76.78,Saint Andrew,8244,1,5,0.25
Trinity Ville,Trinity Ville,,17.95,-76.53,Saint Thomas,2614,4,5,0.25
Ulster Spring,Ulster Spring,,18.32,-77.52,Trelawny,1391,5,5,0.25
Wakefield,Wakefield,,18.42,-77.72,Trelawny,2724,5,5,0.25
White House,White House,,18.08,-77.97,Westmoreland,3157,2,5,0.25
Williamsfield,Williamsfield,,18.07,-77.48,Manchester,2800,3,5,0.25
Yallahs,Yallahs,,17.87,-76.57,Saint Thomas,6902,4,5,0.25
Grantham,Grantham,,17.955718,-77.240515,Clarendon,7611.090909,7,5,0.25
Mineral Heights,Mineral Heights,,17.942157,-77.23333,Clarendon,7611.090909,7,5,0.25
May Pen Proper,May Pen Proper,,17.971896,-77.243044,Clarendon,7611.090909,7,5,0.25
Longwood,Longwood,,17.813019,-77.280742,Clarendon,7611.090909,7,5,0.25
Copse,Copse,,17.969923,-76.788615,Hanover,3511.4,0,5,0.25
Logwood,Logwood,,18.344818,-78.297987,Hanover,3511.4,6,5,0.25
Cacoon,Cacoon,,18.40883,-78.202591,Hanover,3511.4,6,5,0.25
Orange Bay,Orange Bay,,18.369958,-78.314518,Hanover,3511.4,6,5,0.25
Ramble,Ramble,,18.350996,-77.977434,Hanover,3511.4,2,5,0.25
Kingsvale,Kingsvale,,18.386414,-78.203463,Hanover,3511.4,6,5,0.25
Dias,Dias,,18.398245,-78.194203,Hanover,3511.4,6,5,0.25
Jericho,Jericho,,18.429078,-78.129345,Hanover,3511.4,2,5,0.25
Rock Spring,Rock Spring,,18.409796,-78.133592,Hanover,3511.4,2,5,0.25
Lucea West,Lucea West,,18.450419,-78.176394,Hanover,3511.4,6,5,0.25
Askenish,Askenish,,18.384,-78.150467,Hanover,3511.4,2,5,0.25
Lucea East,Lucea East,,18.450419,-78.176394,Hanover,3511.4,6,5,0.25
Lances Bay,Lances Bay,,18.445113,-78.219844,Hanover,3511.4,6,5,0.25
Great Valley,Great Valley,,18.396561,-78.075392,Hanover,3511.4,2,5,0.25
Cousins Cove,Cousins Cove,,18.423351,-78.245479,Hanover,3511.4,6,5,0.25
Success,Success,,18.365076,-78.047067,Hanover,3511.4,2,5,0.25
Santoy,Santoy,,18.356514,-78.286054,Hanover,3511.4,6,5,0.25
Cauldwell,Cauldwell,,18.389526,-78.244952,Hanover,3511.4,6,5,0.25
Mount Peto,Mount Peto,,18.344065,-78.017178,Hanover,3511.4,2,5,0.25
Maryland,Maryland,,18.387556,-78.129812,Hanover,3511.4,2,5,0.25
Cacoon Castle,Cacoon Castle,,18.428237,-78.131552,Hanover,3511.4,2,5,0.25
Chester Castle,Chester Castle,,18.321366,-77.970296,Hanover,3511.4,2,5,0.25
Haddington,Haddington,,18.409771,-78.133638,Hanover,3511.4,2,5,0.25
Pondside,Pondside,,18.396561,-78.075392,Hanover,3511.4,2,5,0.25
March Town,March Town,,18.34504,-78.277597,Hanover,3511.4,6,5,0.25
East Down Town,East Down Town,,17.970992,-76.789609,Kingston,16411,0,5,0.25
Denham Town,Denham Town,,18.037052,-76.830003,Kingston,16411,0,5,0.25
Central Down Town,Central Down Town,,18.017874,-76.809904,Kingston,16411,0,5,0.25
Passmore Town,Passmore Town,,17.96968,-76.78126,Kingston,16411,0,5,0.25
Rollington Town,Rollington Town,,17.977595,-76.76972,Kingston,16411,0,5,0.25
D'Aguilar Town/ Rennock Lodge,D'Aguilar Town/ Rennock Lodge,,17.999862,-76.817184,Kingston,16411,0,5,0.25
West Down Town,West Down Town,,17.968725,-76.788471,Kingston,16411,0,5,0.25
Tivoli Gardens,Tivoli Gardens,,17.974651,-76.80073,Kingston,16411,0,5,0.25
Newton Square,Newton Square,,17.95984,-76.87722,Kingston,16411,0,5,0.25
Kingston Gardens,Kingston Gardens,,18.024718,-76.809602,Kingston,16411,0,5,0.25
Bournemouth Gardens,Bournemouth Gardens,,17.97119,-76.761065,Kingston,16411,0,5,0.25
Rae Town,Rae Town,,18.017874,-76.809904,Kingston,16411,0,5,0.25
Allman Town,Allman Town,,17.984597,-76.787029,Kingston,16411,0,5,0.25
