Id,Label,timeset,lat,long,parish,population,modularity_class,Weighted Degree,recovery weight,Recovery Weight,Log Recovery Weight
Above Rocks,Above Rocks,,18.1089,-76.8772,Saint Catherine,3263.0,0,139,0.25,0.4853165,0.1837744633590913
Annotto Bay,Annotto Bay,,18.2703,-76.7706,Saint Mary,5468.0,1,33,0.25,0.475394,0.16359543446937935
Bog Walk,Bog Walk,,18.1,-77.02,Saint Catherine,8794.0,0,88,0.25,0.460427,0.1450232184844682
Constant Spring,Constant Spring,,18.05,-76.78,Saint Andrew,12369.0,0,127,0.25,0.4443395,0.13168988694310813
Ewarton,Ewarton,,18.18,-77.08,Saint Catherine,8742.0,0,34,0.25,0.460661,0.14525502780617294
Gordon Town,Gordon Town,,18.05,-76.7,Saint Andrew,1049.0,0,100,0.25,0.4952795,0.22813020606257978
Albert Town,Albert Town,,18.2958,-77.5414,Trelawny,3389.0,5,36,0.25,0.4847495,0.18229355880463594
Alexandria,Alexandria,,18.2983,-77.3575,Saint Ann,1672.0,5,34,0.25,0.492476,0.20990873542073024
Balaclava,Balaclava,,18.1705,-77.6484,Saint Elizabeth,2837.0,3,42,0.25,0.4872335,0.1892426597783733
Brown's Town,Brown's Town,,18.4,-77.36,Saint Ann,6762.0,5,28,0.25,0.469571,0.15529323502132247
Cave Valley,Cave Valley,,18.27,-77.37,Saint Ann,1777.0,5,29,0.25,0.4920035,0.20752813149752292
Christiana,Christiana,,18.17,-77.49,Manchester,7235.0,3,21,0.25,0.4674425,0.15265053180904492
Bamboo,Bamboo,,18.3851,-77.2662,Saint Ann,3732.0,5,26,0.25,0.483206,0.1785252528432984
Alligator Pond,Alligator Pond,,17.8711,-77.5683,Manchester,1542.0,3,32,0.25,0.493061,0.2130724063656556
Bull Savanna,Bull Savanna,,17.88,-77.59,Saint Elizabeth,3163.8,3,31,0.25,0.4857629,0.18498118804564034
Malvern,Malvern,,17.97,-77.72,Saint Elizabeth,3262.0,3,15,0.25,0.485321,0.18378644389661686
Mandeville,Mandeville,,18.05,-77.48,Manchester,39945.0,3,13,0.25,0.3202475,0.085868381705484
Nain,Nain,,17.97,-77.6,Saint Elizabeth,2373.0,3,8,0.25,0.4893215,0.19622320356043949
Porus,Porus,,18.03,-77.42,Manchester,5095.0,3,5,0.25,0.4770725,0.16635702304917988
Anchovy,Anchovy,,18.4097,-77.9339,Saint James,3633.0,2,88,0.25,0.4836515,0.17957611419235564
Bethel Town,Bethel Town,,18.3,-77.95,Westmoreland,2768.0,2,98,0.25,0.487544,0.19020505227937518
Cambridge,Cambridge,,18.32,-77.89,Saint James,3384.0,2,82,0.25,0.484772,0.18235126810697128
Cascade,Cascade,,18.4,-78.1,Hanover,1220.0,2,93,0.25,0.49451,0.22222761523927265
Darliston,Darliston,,18.23,-77.97,Westmoreland,1435.0,2,35,0.25,0.4935425,0.215883328903699
Maroon Town,Maroon Town,,18.35,-77.79,Saint James,2669.0,2,34,0.25,0.4879895,0.1916286283591243
Buff Bay,Buff Bay,,18.23,-76.67,Portland,2596.0,1,31,0.25,0.488318,0.19271257806845016
Guy's Hill,Guy's Hill,,18.25,-77.0,Saint Mary,3165.0,1,14,0.25,0.4857575,0.18496636570819636
Coleyville,Coleyville,,18.22,-77.5,Manchester,3320.0,3,15,0.25,0.48506,0.18309757246663672
Lacovia,Lacovia,,18.07,-77.75,Saint Elizabeth,3159.0,3,20,0.25,0.4857845,0.18504053366853657
Claremont,Claremont,,18.38,-77.17,Saint Ann,2154.0,5,22,0.25,0.490307,0.20000788709342332
Bath,Bath,,17.95,-76.35,Saint Thomas,2151.0,4,23,0.25,0.4903205,0.20006236306512837
Dalvey,Dalvey,,17.9,-76.25,Saint Thomas,2742.0,4,16,0.25,0.487661,0.19057392945918555
Golden Grove,Golden Grove,,17.93,-76.27,Saint Thomas,2761.0,4,15,0.25,0.4875755,0.19030402340246633
Manchioneal,Manchioneal,,18.05,-76.28,Portland,2185.0,4,15,0.25,0.4901675,0.19944937028242032
